date,annualInterestExpense,annualChangeInCashSupplementalAsReported,annualNetIncomeCommonStockholders,annualOtherCurrentLiabilities,annualGrossPPE,annualEbitda,annualOtherNonCurrentAssets,annualCurrentAssets,annualSellingGeneralAndAdministration,annualCashCashEquivalentsAndMarketableSecurities,annualCashAndCashEquivalents,annualNetIncomeContinuousOperations,annualBeginningCashPosition,annualOperatingExpense,annualOtherNonCurrentLiabilities,annualTaxProvision,annualDilutedEPS,annualCurrentDebt,annualDepreciationAndAmortization,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualCurrentLiabilities,annualNetPPE,annualOperatingCashFlow,annualTotalNonCurrentAssets,annualStockholdersEquity,annualOtherNonCashItems,annualOtherCurrentAssets,annualSaleOfInvestment,annualCommonStockIssuance,annualOtherShortTermInvestments,annualOtherIntangibleAssets,annualDilutedAverageShares,annualAccountsReceivable,annualNetIncome,annualGoodwill,annualTotalAssets,annualPretaxIncome,annualRetainedEarnings,annualChangeInWorkingCapital,annualLongTermDebt,annualTotalLiabilitiesNetMinorityInterest,annualNonCurrentDeferredTaxesLiabilities,annualBasicEPS,annualFreeCashFlow,annualNetOtherInvestingChanges,annualCashDividendsPaid,annualCostOfRevenue,annualPurchaseOfBusiness,annualInventory,annualStockBasedCompensation,annualEndCashPosition,annualChangeInInventory,annualNetOtherFinancingCharges,annualAccountsPayable,annualBasicAverageShares,annualOperatingIncome,annualGrossProfit,annualAccumulatedDepreciation,annualInvestingCashFlow,annualPurchaseOfInvestment,annualCapitalExpenditure,annualRepaymentOfDebt,annualCapitalStock,annualTotalRevenue,annualCurrentAccruedExpenses,annualNonCurrentDeferredRevenue,annualGainsLossesNotAffectingRetainedEarnings,annualChangeInAccountPayable,annualOtherIncomeExpense,annualRepurchaseOfCapitalStock,annualChangesInAccountReceivables,annualIncomeTaxPayable,annualCurrentDeferredRevenue,annualResearchAndDevelopment,annualInvestmentsAndAdvances,annualCashFlowFromContinuingFinancingActivities,annualDeferredIncomeTax
2009-12-31,7985000,6047000,214672000,248155000.0,39816000,262087000,540000.0,1665398000,161683000,177173000,177173000,214672000,169473000,147444000,0.0,32060000,0.18,170150000,7370000,21788000,1042468000,26223000,-51034000,352017000,953159000,212818000,853186000,,120201000.0,0.0,,1207816541,411394000,214672000,230664000,2017415000,246732000,,-283455000,,1064256000,21788000,0.18,-64399000,0.0,-56204000.0,1004386000,-1200000.0,6432000,9886000.0,177173000,1902000,-4248000.0,488590000,1207816541,253617000,401061000,-13593000,-13694000,0.0,-13365000,-100000000,216000,1405447000,,,,,,,,,,,,,
2010-12-31,11505000,669331000,294009000,559531000.0,42975000,366689000,566000.0,3309455000,211051000,949324000,836883000,294009000,177173000,237916000,0.0,53673000,0.21,289998000,7502000,36281000,1586208000,27074000,-72951000,424441000,2111407000,332197000,960377000,,927964000.0,112441000.0,,1427287836,834436000,294009000,230664000,3733896000,347682000,,-424594000,,1622489000,36281000,0.21,-141847000,0.0,-65297000.0,1274242000,-7650000.0,4467000,9886000.0,836883000,1965000,0.0,597838000,1427287836,350026000,587942000,-15901000,-184983000,-112441000.0,-68896000,-260078000,276000,1862184000,,,,,,,,,,,,,
2011-12-31,14894000,-384464000,112919000,462909000.0,93060000,159747000,557000.0,3121935000,283365000,505277000,435881000,110968000,836883000,261093000,0.0,20779000,0.07,300390000,13106000,35889000,1633150000,56243000,-214194000,819804000,2265812000,11650000,865013000,112441000.0,0.0,69396000.0,34467000.0,1582838016,769186000,112919000,347321000,3941739000,131747000,,-323951000,,1669039000,35889000,0.07,-223952000,-105715000.0,0.0,1192814000,-185093000.0,31262000,,435881000,-16663000,6101000.0,672652000,1582838016,131299000,392392000,-36817000,-256300000,-69396000.0,-9758000,-409998000,283000,1585206000,,,,,,,,,,,,,
2012-12-31,29427000,148500000,131910000,679378000.0,109955000,262979000,19944000.0,4164426000,359109000,734824000,665419000,139329000,435881000,321756000,0.0,58913000,0.08,431577000,35310000,253050000,2419442000,55915000,51310000,1005472000,2462689000,52119000,1258838000,,,69405000.0,78717000.0,1632780213,868243000,131910000,406135000,5169898000,198242000,677927000.0,-157736000,201194000.0,2672492000,43319000,0.08,20481000,-111710000.0,,1629270000,-5249000.0,37853000,,584783000,-3172000,0.0,1251224000,1628539233,194974000,516730000,-54040000,-144128000,0.0,-30829000,-443912000,289000,2146000000,,,,,,,,,,,,,
2013-12-31,56351000,112176000,149254000,728324000.0,134060000,293512000,24500000.0,4823402000,373619000,860473000,776359000,152780000,584783000,370258000,0.0,45675000,0.09,520561000,38706000,468881000,2657942000,64844000,-237325000,973064000,2630357000,61827000,1294760000,56000000.0,,84114000.0,59750000.0,1715973396,1092826000,149254000,406135000,5796466000,198455000,15532000.0,-389252000,417951000.0,3126823000,47863000,0.09,-269044000,17250000.0,-5058000.0,1831282000,-21075000.0,20922000,,695720000,15544000,0.0,1329674000,1645752039,188728000,558986000,-69216000,37742000,,-31719000,-535436000,289000,2390268000,,,,,,,,,,,,,
2014-12-31,75860000,-86537000,-194657000,855940000.0,149481000,-82172000,82390000.0,4850480000,428712000,667829000,600299000,-215370000,695720000,426468000,0.0,17467000,-0.12,841606000,39871000,94235000,3217932000,67899000,61367000,905195000,2428214000,71900000,1252874000,0.0,,67530000.0,42184000.0,1649600111,1342475000,-194657000,353782000,5755675000,-197903000,591581000.0,100945000,63000000.0,3312167000,31235000,-0.12,27623000,-57338000.0,-6675000.0,1917437000,-27422000.0,20721000,,600299000,201000,0.0,1448123000,1649600111,-77209000,349259000,-81582000,-94429000,,-33744000,-749844000,290000,2266696000,,,,,,,,,,,,,
2015-12-31,80800000,148967000,-278476000,1248356000.0,369254000,-165550000,49859000.0,5498170000,412525000,736107000,736107000,-303770000,600299000,608292000,0.0,33608000,-0.17,904701000,23812000,301580000,3957273000,293073000,21138000,886823000,2137144000,75139000,1494229000,67530000.0,,,32441000.0,1654024868,1587104000,-278476000,230664000,6384993000,-270162000,302381000.0,36313000,281200000.0,4258853000,20380000,-0.17,-222365000,0.0,,1924478000,,31867000,,736107000,-11146000,-109000000.0,1687200000,1654024868,-215229000,393063000,-76181000,-148689000,,-243503000,-987688000,290000,2317541000,,,,,,,,,,,,,
2016-12-31,53849000,-105324000,75506000,889468000.0,329439000,202799000,0.0,4590632000,311209000,604843000,604843000,54834000,736107000,307418000,0.0,81550000,0.05,938863000,12566000,90308000,3091945000,300388000,-195708000,756379000,2164787000,42711000,586356000,0.0,,,9128000.0,1654024868,1145574000,75506000,230664000,5347011000,136384000,367204000.0,-299632000,81200000.0,3182253000,9108000,0.05,-230248000,,,2061530000,,86077000,,604843000,-54357000,-17350000.0,937728000,1654024868,156895000,464313000,-29051000,-119928000,-3000000.0,-34540000,-927681000,290000,2525843000,,,,,,,,,,,,,
2017-12-31,47806000,-432448000,24490000,621901000.0,291212000,111336000,,3512368000,200350000,219557000,179654000,24469000,604843000,196785000,,24618000,0.01,623563000,14443000,171307000,1959397000,261413000,-21957000,820826000,2202490000,25608000,831190000,30883000.0,,39903000.0,15621000.0,1654024868,1094119000,24490000,274027000,4333194000,49087000,412424000.0,-59960000,152000000.0,2130704000,19307000,0.01,-62318000,,,905500000,-2357000.0,80257000,,179654000,-35175000,,391036000,1654024868,62553000,259338000,-29799000,-70007000,-100000000.0,-40361000,-1252664000,290000,1164838000,,,,,,,,,,,,,
2018-12-31,42171000,-22048000,-116278000,,301144000,-59494000,,3135130000,197305000,166436000,146436000,-116278000,179654000,195688000,,2183000,-0.07,363509000,12430000,445380000,1629565000,262359000,29444000,970504000,2030689000,6504000,88270000,0.0,,20000000.0,1983000.0,1654024868,844872000,-116278000,274027000,4105634000,-114095000,257316000.0,69110000,420843000.0,2074945000,24537000,-0.07,13188000,,,759331000,0.0,59798000,,146436000,9998000,-29790000.0,651863000,1654024868,-31053000,164635000,-38785000,-45225000,-30000000.0,-16256000,-543501000,290000,923966000,,,,,,,,,,,,,
